"gene","CTR:unprovisioned_egg","FLX:unprovisioned_egg","cluster","condition","control","estimate"
"116917299",-0.256124855047255,-0.0521286082894865,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116919815",-0.0806983718709166,0.18748809656126,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116919847",-0.867622567382869,-0.559594359782242,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116920368",-1.02446632960322,-0.507592588559209,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116920434",-0.256274403303007,0.30228848300738,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116922548",-0.522656618305589,-0.428391427529259,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116922549",-0.733221001145744,-0.476401611860867,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116923059",-1.31671057326084,0.556670668576673,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116926022",0.324463034931111,0.406556231277961,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116927340",-0.0339257831415751,0.0116950816055181,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116929716",-0.125595531085533,-0.0742554120612798,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116933421",-0.474629988951704,0.227662660806598,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116934989",-0.929963731580686,-0.388887256698588,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
"116936041",-1.43662582691139,-0.445085014635591,"2","FLX:unprovisioned_egg","CTR:unprovisioned_egg",-1.16841841811433
