"gene","CTR:unprovisioned_egg","TBT:unprovisioned_egg","cluster","condition","control","estimate"
"116917299",-0.256124855047255,0.830975036891368,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116919815",-0.0806983718709166,0.240293325590263,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116920368",-1.02446632960322,-0.67013965637419,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116920434",-0.256274403303007,-0.0485918706714809,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116922548",-0.522656618305589,-0.144916686356613,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116922549",-0.733221001145744,-0.375086418749123,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116923059",-1.31671057326084,0.0957370383687926,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116933421",-0.474629988951704,-0.349775872355119,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116934989",-0.929963731580686,-0.635961157113412,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
"116936041",-1.43662582691139,-0.7036483676676,"2","TBT:unprovisioned_egg","CTR:unprovisioned_egg",-1.3133636379564
