"cluster","trt_st","emmean","SE","df","letra"
"1","CTR:embryo",-0.217841902858004,0.264249303780127,18," ab"
"1","FLX:embryo",-0.154337958920746,0.161818989786754,18," a "
"1","TBT:embryo",0.0931022398385641,0.264249303780127,18," ab"
"1","SER:embryo",0.533020696413893,0.161818989786754,18,"  b"
"1","CTR:provisioned_egg",-1.20212904164224,0.264508161414377,23," a  "
"1","FLX:provisioned_egg",-0.254531425397118,0.152713858195444,23,"  b "
"1","SER:provisioned_egg",0.269472468676837,0.152713858195444,23,"  b "
"1","TBT:provisioned_egg",1.00357175438304,0.187035514615292,23,"   c"
"1","SER:unprovisioned_egg",-0.469266472082458,0.209389909106495,22," a"
"1","TBT:unprovisioned_egg",-0.392822920194504,0.280926042338775,22," a"
"1","FLX:unprovisioned_egg",-0.116233321690988,0.209389909106495,22," a"
"1","CTR:unprovisioned_egg",0.676285681052558,0.362673961164678,22," a"
"2","SER:embryo",-0.0538139491747632,0.220328286172245,18," a"
"2","CTR:embryo",0.060613705516524,0.359794584682608,18," a"
"2","FLX:embryo",0.486228318276502,0.220328286172245,18," a"
"2","TBT:embryo",0.680866362081347,0.359794584682608,18," a"
"2","TBT:provisioned_egg",-0.942212232429479,0.103117592647427,23," a  "
"2","SER:provisioned_egg",-0.52661375941873,0.0841951618301219,23,"  b "
"2","FLX:provisioned_egg",-0.249107235170094,0.0841951618301219,23,"  b "
"2","CTR:provisioned_egg",0.233426719581488,0.145830298041255,23,"   c"
"2","CTR:unprovisioned_egg",-0.414685967833728,0.317400914356682,22," a"
"2","FLX:unprovisioned_egg",0.118365700579221,0.183251503344864,22," a"
"2","TBT:unprovisioned_egg",0.280546617732524,0.245857691074887,22," a"
"2","SER:unprovisioned_egg",0.558528949016651,0.183251503344864,22," a"
