"cluster","estado","group1","group2","estimate","p.value"
"1","embryo","CTR:embryo","FLX:embryo",-0.181837797987059,0.936991000550677
"1","embryo","CTR:embryo","SER:embryo",-0.186807441773844,0.933427945291887
"1","embryo","CTR:embryo","TBT:embryo",1.45733320107042,0.0474329087997853
"2","embryo","CTR:embryo","FLX:embryo",-0.0216481234680823,0.997022720583852
"2","embryo","CTR:embryo","SER:embryo",0.609848240072333,0.0598971736859184
"2","embryo","CTR:embryo","TBT:embryo",0.228576032639028,0.759787551343234
"3","embryo","CTR:embryo","FLX:embryo",-0.182632940718613,0.537732006337552
"3","embryo","CTR:embryo","SER:embryo",-0.539228292394907,0.00947314587492798
"3","embryo","CTR:embryo","TBT:embryo",-0.486824836018838,0.0562158339844974
"1","provisioned_egg","CTR:provisioned_egg","FLX:provisioned_egg",-0.0191631149472245,0.959359481801443
"1","provisioned_egg","CTR:provisioned_egg","SER:provisioned_egg",0.000986766785932788,0.999901724669179
"1","provisioned_egg","CTR:provisioned_egg","TBT:provisioned_egg",-0.0336106734501301,0.886800459479766
"2","provisioned_egg","CTR:provisioned_egg","FLX:provisioned_egg",0.791541790347851,0.0497953242475651
"2","provisioned_egg","CTR:provisioned_egg","SER:provisioned_egg",1.17668617936162,0.00287448420413861
"2","provisioned_egg","CTR:provisioned_egg","TBT:provisioned_egg",2.1683210220767,3.34225057030402e-06
"3","provisioned_egg","CTR:provisioned_egg","FLX:provisioned_egg",-0.817214104340573,0.0023534892051571
"3","provisioned_egg","CTR:provisioned_egg","SER:provisioned_egg",-1.25557720529025,1.48488783275891e-05
"3","provisioned_egg","CTR:provisioned_egg","TBT:provisioned_egg",-1.79768460439542,1.33938285129531e-07
"1","unprovisioned_egg","CTR:unprovisioned_egg","FLX:unprovisioned_egg",0.405509767879524,0.708592141593235
"1","unprovisioned_egg","CTR:unprovisioned_egg","SER:unprovisioned_egg",0.880522589785881,0.184974804821399
"1","unprovisioned_egg","CTR:unprovisioned_egg","TBT:unprovisioned_egg",0.298656793433864,0.862333475292321
"2","unprovisioned_egg","CTR:unprovisioned_egg","FLX:unprovisioned_egg",-1.16841841811433,0.0153989524453331
"2","unprovisioned_egg","CTR:unprovisioned_egg","SER:unprovisioned_egg",-1.37896793422283,0.00422293684587571
"2","unprovisioned_egg","CTR:unprovisioned_egg","TBT:unprovisioned_egg",-1.3133636379564,0.0128134211762656
"3","unprovisioned_egg","CTR:unprovisioned_egg","FLX:unprovisioned_egg",0.553895030993242,0.138992216441622
"3","unprovisioned_egg","CTR:unprovisioned_egg","SER:unprovisioned_egg",0.50666114148863,0.189549428116015
"3","unprovisioned_egg","CTR:unprovisioned_egg","TBT:unprovisioned_egg",0.615535758872165,0.131625759863666
